comuna,tipo_propiedad,metros_totales,metros_construidos,dormitorios,banos,estacionamientos,antiguedad_anos,piso,orientacion,gastos_comunes,cercania_metro,ascensor,precio
Maipú,Casa,128.77105376500566,113.51718970937566,3,3,1,37,1,Suroriente,134629.2440715815,True,False,100515000.0
Santiago Centro,Casa,189.42955607220912,133.42374705632687,4,4,1,3,1,Sur,73864.26567961663,True,False,340258000.0
Recoleta,Casa,181.5080656728573,97.73583132646962,3,3,3,14,1,Suroriente,174821.72809380386,True,False,139247000.0
San Miguel,Casa,161.80305255797617,57.25533281581693,5,4,3,23,1,Oeste,154698.37576021874,True,False,130392000.0
Huechuraba,Departamento,30.0,30.0,2,3,0,24,22,Nororiente,220477.2954762646,False,False,29503000.0
La Florida,Departamento,156.4771383317907,94.5567851240308,5,1,0,0,24,Nororiente,159073.0447928886,True,False,103726000.0
Recoleta,Casa,109.09480508130287,25.0,1,4,1,6,1,Norponiente,71955.51822169808,False,False,25246000.0
Vitacura,Casa,169.7928764359247,54.152421507333585,3,4,0,30,1,Norponiente,146518.45304545958,True,False,144869000.0
Maipú,Departamento,132.80807292169123,68.94821875092106,2,4,0,11,12,Oeste,169401.08367579282,False,False,64226000.0
Conchalí,Departamento,119.00591948555675,119.00591948555675,3,4,1,4,12,Sur,171973.9407062673,True,True,144163000.0
Ñuñoa,Departamento,152.0451924704618,143.20732345224857,3,1,0,37,11,Suroriente,81157.89260546319,False,False,120013000.0
Maipú,Departamento,111.4043314464121,111.4043314464121,4,4,0,11,8,Surponiente,75183.11488222625,True,False,143532000.0
Huechuraba,Casa,118.78613600540291,99.29441110735466,1,2,2,38,1,Suroriente,63018.14404454942,True,False,68288000.0
Huechuraba,Departamento,92.23880004356191,92.23880004356191,3,1,3,17,23,Norte,200236.59970694332,True,False,98934000.0
La Florida,Casa,39.72955044077189,39.72955044077189,5,2,1,1,1,Este,151143.94119210192,True,False,64068000.0
Vitacura,Departamento,148.39267368856358,90.27212393571085,5,4,2,9,2,Nororiente,78939.06878956447,False,True,408268000.0
Santiago Centro,Departamento,79.69848401647151,79.69848401647151,4,3,3,14,11,Este,126359.44693785603,False,False,152559000.0
La Florida,Departamento,109.9604066979633,47.00403770763519,1,2,3,29,22,Norte,113815.6343299488,True,True,32572000.0
La Florida,Departamento,134.34869792269666,98.39648358567479,1,4,3,16,10,Norponiente,71370.92655171585,False,False,99212000.0
Ñuñoa,Departamento,30.0,30.0,5,2,2,3,3,Suroriente,121809.19719783016,True,True,78871000.0
La Reina,Casa,30.0,30.0,2,4,2,6,1,Nororiente,129534.76438602195,True,False,95876000.0
Vitacura,Casa,105.01307116953986,105.01307116953986,4,4,3,30,1,Este,216562.65473259497,False,False,395186000.0
