fecha,comuna,tipo_propiedad,precio_promedio,variacion_mensual,num_propiedades
2023-01-01,Las Condes,Casa,247636000.0,3.1,25
2023-01-01,Las Condes,Departamento,200350000.0,0.9,33
2023-02-01,Las Condes,Casa,246913000.0,-0.7,71
2023-02-01,Las Condes,Departamento,204566000.0,0.7,98
2023-03-01,Las Condes,Casa,245727000.0,-0.1,38
2023-03-01,Las Condes,Departamento,215170000.0,1.0,64
2023-04-01,Las Condes,Casa,240712000.0,1.3,34
2023-04-01,Las Condes,Departamento,211986000.0,3.7,74
2023-05-01,Las Condes,Casa,252885000.0,1.1,74
2023-05-01,Las Condes,Departamento,204402000.0,2.2,33
2023-06-01,Las Condes,Casa,234199000.0,0.3,51
2023-06-01,Las Condes,Departamento,198972000.0,2.8,16
2023-07-01,Las Condes,Casa,235511000.0,3.0,49
2023-07-01,Las Condes,Departamento,206000000.0,1.5,95
2023-08-01,Las Condes,Casa,243038000.0,-2.9,41
2023-08-01,Las Condes,Departamento,193411000.0,4.4,19
2023-09-01,Las Condes,Casa,238139000.0,-1.2,86
2023-09-01,Las Condes,Departamento,196861000.0,4.9,13
2023-10-01,Las Condes,Casa,233966000.0,-1.2,82
2023-10-01,Las Condes,Departamento,210164000.0,-2.4,12
2023-11-01,Las Condes,Casa,252946000.0,-1.9,21
2023-11-01,Las Condes,Departamento,195929000.0,-2.6,33
2023-12-01,Las Condes,Casa,240900000.0,-0.0,84
2023-12-01,Las Condes,Departamento,206235000.0,2.8,18
2023-01-01,Providencia,Casa,223848000.0,-0.5,77
2023-01-01,Providencia,Departamento,176935000.0,4.2,31
2023-02-01,Providencia,Casa,220541000.0,4.6,62
2023-02-01,Providencia,Departamento,184020000.0,4.6,39
2023-03-01,Providencia,Casa,216669000.0,5.0,34
2023-03-01,Providencia,Departamento,194791000.0,-1.7,75
2023-04-01,Providencia,Casa,226597000.0,4.8,59
2023-04-01,Providencia,Departamento,179423000.0,1.8,23
2023-05-01,Providencia,Casa,231430000.0,3.9,53
2023-05-01,Providencia,Departamento,192571000.0,-1.8,54
2023-06-01,Providencia,Casa,220120000.0,1.9,14
2023-06-01,Providencia,Departamento,190074000.0,-2.4,69
2023-07-01,Providencia,Casa,209603000.0,3.7,25
2023-07-01,Providencia,Departamento,183790000.0,-0.9,75
2023-08-01,Providencia,Casa,214895000.0,2.8,35
2023-08-01,Providencia,Departamento,186940000.0,-2.8,35
2023-09-01,Providencia,Casa,218918000.0,-2.6,26
2023-09-01,Providencia,Departamento,190385000.0,4.8,76
2023-10-01,Providencia,Casa,215433000.0,-0.9,68
2023-10-01,Providencia,Departamento,177050000.0,4.6,30
2023-11-01,Providencia,Casa,235677000.0,1.0,79
2023-11-01,Providencia,Departamento,177740000.0,4.1,34
2023-12-01,Providencia,Casa,232805000.0,3.5,24
2023-12-01,Providencia,Departamento,189703000.0,1.0,38
2023-01-01,Ñuñoa,Casa,153954000.0,-0.5,42
2023-01-01,Ñuñoa,Departamento,130706000.0,2.1,30
2023-02-01,Ñuñoa,Casa,162907000.0,3.9,55
2023-02-01,Ñuñoa,Departamento,129695000.0,0.0,73
2023-03-01,Ñuñoa,Casa,160786000.0,-1.4,70
2023-03-01,Ñuñoa,Departamento,128466000.0,-2.9,72
2023-04-01,Ñuñoa,Casa,160522000.0,0.3,57
2023-04-01,Ñuñoa,Departamento,137755000.0,1.8,69
2023-05-01,Ñuñoa,Casa,150445000.0,-1.7,37
2023-05-01,Ñuñoa,Departamento,131603000.0,3.2,38
2023-06-01,Ñuñoa,Casa,153499000.0,-1.0,32
2023-06-01,Ñuñoa,Departamento,135605000.0,2.1,24
2023-07-01,Ñuñoa,Casa,157570000.0,2.8,69
2023-07-01,Ñuñoa,Departamento,123762000.0,0.3,19
2023-08-01,Ñuñoa,Casa,158012000.0,2.2,55
2023-08-01,Ñuñoa,Departamento,125632000.0,-1.5,19
2023-09-01,Ñuñoa,Casa,160456000.0,-1.4,15
2023-09-01,Ñuñoa,Departamento,133616000.0,1.4,81
2023-10-01,Ñuñoa,Casa,147580000.0,1.5,45
2023-10-01,Ñuñoa,Departamento,132367000.0,-2.7,46
2023-11-01,Ñuñoa,Casa,161822000.0,1.2,59
