año,mes,ministerio,presupuesto_inicial,presupuesto_vigente,devengado,pagado,porcentaje_ejecucion
2025,1,Ministerio de Educación,1811258320,1829127920,1702841580,1609456406,94.01
2025,2,Ministerio de Educación,1221250329,1265969603,954039418,818137333,78.12
2025,3,Ministerio de Educación,2423010531,2536870183,2160391361,1842113830,89.16
2025,4,Ministerio de Educación,3047595130,2951109642,2415121075,2109939724,79.25
2025,1,Ministerio de Salud,1621454055,1587602820,1386264230,1256167287,85.5
2025,2,Ministerio de Salud,2452002815,2419234702,1907409979,1693739633,77.79
2025,3,Ministerio de Salud,2031388957,2034280525,1842541273,1613988016,90.7
2025,4,Ministerio de Salud,2399519335,2320460962,1821931234,1692539191,75.93
2025,1,Ministerio de Desarrollo Social,975639301,1005727758,916883480,894449325,93.98
2025,2,Ministerio de Desarrollo Social,1622457176,1612747175,1248536647,1172313851,76.95
2025,3,Ministerio de Desarrollo Social,1129503234,1175736105,958988209,819427142,84.9
2025,4,Ministerio de Desarrollo Social,1498705950,1501713556,1322614680,1177818052,88.25
2025,1,Ministerio de Obras Públicas,2276117754,2338741224,1791238417,1748331095,78.7
2025,2,Ministerio de Obras Públicas,3336647142,3477411688,3099629980,2875610414,92.9
2025,3,Ministerio de Obras Públicas,1038929755,1020782803,819919802,701752589,78.92
2025,4,Ministerio de Obras Públicas,1849428682,1822936231,1487439648,1424574314,80.43
2025,1,Ministerio del Interior,1558523176,1605621275,1338053266,1161858612,85.85
2025,2,Ministerio del Interior,1001286737,971119538,948596413,901538272,94.74
2025,3,Ministerio del Interior,814909716,833571732,744087775,700849917,91.31
2025,4,Ministerio del Interior,2882429936,2771706883,2204508156,1976563213,76.48
2025,1,Ministerio de Defensa,3130379249,2993756461,2738016341,2445094436,87.47
2025,2,Ministerio de Defensa,1639652268,1662206910,1336376715,1262673940,81.5
2025,3,Ministerio de Defensa,3195474404,3263616230,2698395945,2335589195,84.44
2025,4,Ministerio de Defensa,2854119631,2852348820,2460980177,2338486693,86.23
2025,1,Ministerio de Hacienda,2211378639,2124668587,1847624994,1576586697,83.55
2025,2,Ministerio de Hacienda,884858801,885617186,776270771,691553452,87.73
2025,3,Ministerio de Hacienda,3250429479,3333494575,2599883471,2348604162,79.99
2025,4,Ministerio de Hacienda,1417755046,1369724523,1085144016,963247281,76.54
2025,1,Ministerio de Justicia,3310183661,3433143938,3017643121,2813476896,91.16
2025,2,Ministerio de Justicia,2969914607,2981598917,2338255384,2258831091,78.73
2025,3,Ministerio de Justicia,2980088418,2863880444,2769152575,2468257707,92.92
2025,4,Ministerio de Justicia,1415424938,1466483645,1182476507,1130851852,83.54
2025,1,Ministerio del Trabajo,818770752,796017752,697715054,630918209,85.21
2025,2,Ministerio del Trabajo,1123636491,1103770928,918598714,893409140,81.75
2025,3,Ministerio del Trabajo,2200734678,2304561397,1959982649,1758637254,89.06
2025,4,Ministerio del Trabajo,3398607696,3330934045,2720097621,2487916360,80.04
2025,1,Ministerio de Vivienda,1569069334,1569489692,1188377636,1104292032,75.74
2025,2,Ministerio de Vivienda,938992628,914537681,756573866,732419916,80.57
2025,3,Ministerio de Vivienda,1191216154,1160489361,1010020922,987936370,84.79
2025,4,Ministerio de Vivienda,2614765977,2674439212,2359365895,2078348620,90.23
2025,1,Ministerio de Transportes,1793014458,1799428910,1571507543,1465208985,87.65
2025,2,Ministerio de Transportes,1043782379,1011061733,957211589,853546922,91.71
2025,3,Ministerio de Transportes,910092882,866097884,790123153,741201388,86.82
2025,4,Ministerio de Transportes,2182651257,2111576805,1735860700,1621072507,79.53
2025,1,Ministerio de Agricultura,2665531892,2568911944,2205319999,2143074618,82.73
2025,2,Ministerio de Agricultura,1720879147,1785814690,1329714204,1290102244,77.27
2025,3,Ministerio de Agricultura,1496442394,1504702878,1319857417,1262098986,88.2
2025,4,Ministerio de Agricultura,2230056561,2318637922,1780411278,1534898545,79.84
