region,idh_regional,pib_per_capita_regional,indice_desarrollo_comunal
Arica y Parinacota,0.9006374671826806,10576679.31699045,0.8445355153441104
Tarapacá,0.803866259660405,9593867.650974464,0.7844934721023398
Antofagasta,0.857911244099101,17811937.315888353,0.8063652329639746
Atacama,0.8955894353461487,22911353.505693868,0.7125779713327999
Coquimbo,0.7715887429292929,15374608.70833112,0.7616087002029117
Valparaíso,0.8870596032231747,10734418.957281686,0.7572477512178487
Metropolitana,0.768374177542009,17486719.52753244,0.8544143373392316
O'Higgins,0.9430259484253993,21799787.686717067,0.8519891940846548
Maule,0.8476788260129879,20609105.04571981,0.849804140804113
Ñuble,0.7801352215419755,22984663.254475363,0.6033094842787398
Biobío,0.8184767272067093,12724335.653230753,0.8248636453406665
Araucanía,0.8326832898590523,11297215.743552173,0.8276029170333015
Los Ríos,0.9016370022153074,22956880.261012957,0.8035136468565426
Los Lagos,0.8986847572153218,19178525.31722639,0.8268793973674358
Aysén,0.8723881010674661,13285791.81012842,0.8525911114490126
Magallanes,0.7711861425116986,20619916.859732658,0.7410957162305357
