año,region,sector_inversion,proyecto,inversion_total,inversion_ejecutada,porcentaje_avance,fecha_inicio,fecha_termino_estimada
2025,Arica y Parinacota,Educación,Proyecto Educación 1 - Arica y Parinacota,1906357182,1306989244,68.6,2024-05-01,2025-12-30
2025,Arica y Parinacota,Educación,Proyecto Educación 2 - Arica y Parinacota,947082230,170455796,18.0,2024-11-01,2025-10-30
2025,Arica y Parinacota,Educación,Proyecto Educación 3 - Arica y Parinacota,1242118522,827819903,66.6,2024-06-01,2025-10-30
2025,Arica y Parinacota,Educación,Proyecto Educación 4 - Arica y Parinacota,1942828719,1488117647,76.6,2024-06-01,2025-07-30
2025,Arica y Parinacota,Educación,Proyecto Educación 5 - Arica y Parinacota,445467437,109907333,24.7,2024-12-01,2025-07-30
2025,Arica y Parinacota,Salud,Proyecto Salud 1 - Arica y Parinacota,113425979,13435300,11.8,2024-11-01,2025-08-30
2025,Arica y Parinacota,Salud,Proyecto Salud 2 - Arica y Parinacota,859735846,118069699,13.7,2024-12-01,2025-12-30
2025,Arica y Parinacota,Salud,Proyecto Salud 3 - Arica y Parinacota,966532970,703772060,72.8,2024-03-01,2025-09-30
2025,Arica y Parinacota,Salud,Proyecto Salud 4 - Arica y Parinacota,1077045432,618150467,57.4,2024-03-01,2025-10-30
2025,Arica y Parinacota,Salud,Proyecto Salud 5 - Arica y Parinacota,1254335218,296549053,23.6,2024-07-01,2025-07-30
2025,Arica y Parinacota,Salud,Proyecto Salud 6 - Arica y Parinacota,1902882520,1660275705,87.3,2024-02-01,2025-07-30
2025,Arica y Parinacota,Salud,Proyecto Salud 7 - Arica y Parinacota,678766161,120913836,17.8,2024-04-01,2025-09-30
2025,Arica y Parinacota,Infraestructura,Proyecto Infraestructura 1 - Arica y Parinacota,331872646,164655801,49.6,2024-03-01,2025-11-30
2025,Arica y Parinacota,Infraestructura,Proyecto Infraestructura 2 - Arica y Parinacota,843015154,207203742,24.6,2024-04-01,2025-07-30
2025,Arica y Parinacota,Infraestructura,Proyecto Infraestructura 3 - Arica y Parinacota,907796161,241794530,26.6,2024-04-01,2025-11-30
2025,Arica y Parinacota,Infraestructura,Proyecto Infraestructura 4 - Arica y Parinacota,159495255,123421865,77.4,2024-12-01,2025-07-30
2025,Arica y Parinacota,Infraestructura,Proyecto Infraestructura 5 - Arica y Parinacota,850785448,715788847,84.1,2024-08-01,2025-11-30
2025,Arica y Parinacota,Agua Potable,Proyecto Agua Potable 1 - Arica y Parinacota,185931848,66984600,36.0,2024-02-01,2025-12-30
2025,Arica y Parinacota,Agua Potable,Proyecto Agua Potable 2 - Arica y Parinacota,1674601267,645395785,38.5,2024-12-01,2025-09-30
2025,Arica y Parinacota,Agua Potable,Proyecto Agua Potable 3 - Arica y Parinacota,1131122558,240634311,21.3,2024-01-01,2025-06-30
2025,Arica y Parinacota,Agua Potable,Proyecto Agua Potable 4 - Arica y Parinacota,1975085179,1417707877,71.8,2024-12-01,2025-12-30
2025,Arica y Parinacota,Agua Potable,Proyecto Agua Potable 5 - Arica y Parinacota,1649376714,1097636905,66.5,2024-03-01,2025-08-30
2025,Arica y Parinacota,Energía,Proyecto Energía 1 - Arica y Parinacota,1251323952,1052414376,84.1,2024-10-01,2025-06-30
2025,Arica y Parinacota,Energía,Proyecto Energía 2 - Arica y Parinacota,1838423383,1434026977,78.0,2024-12-01,2025-07-30
2025,Arica y Parinacota,Transporte,Proyecto Transporte 1 - Arica y Parinacota,220760865,76998267,34.9,2024-08-01,2025-10-30
2025,Arica y Parinacota,Transporte,Proyecto Transporte 2 - Arica y Parinacota,1486251738,906681894,61.0,2024-11-01,2025-08-30
2025,Arica y Parinacota,Conectividad,Proyecto Conectividad 1 - Arica y Parinacota,827561062,726076981,87.7,2024-03-01,2025-06-30
2025,Arica y Parinacota,Conectividad,Proyecto Conectividad 2 - Arica y Parinacota,1471286090,424889672,28.9,2024-07-01,2025-08-30
