region,poblacion_2024,superficie_km2,densidad_poblacional
Arica y Parinacota,250000,16873,14.816570852841819
Tarapacá,350000,42226,8.288732060815612
Antofagasta,650000,126049,5.156724765765694
Atacama,320000,75176,4.256677663083963
Coquimbo,800000,40580,19.714144898965007
Valparaíso,1900000,16396,115.88192242010247
Metropolitana,8100000,15403,525.871583457768
O'Higgins,950000,16387,57.97278330383841
Maule,1100000,30296,36.30842355426459
Ñuble,520000,13178,39.45970556988921
Biobío,1600000,37069,43.16275054627856
Araucanía,1000000,31842,31.40506249607437
Los Ríos,420000,18429,22.790167670519292
Los Lagos,900000,48583,18.524998456250128
Aysén,110000,108494,1.0138809519420429
Magallanes,180000,132033,1.3632955397514257
