año,sector,programa,presupuesto_inicial,presupuesto_vigente,glosa
2025,Educación,Programa 1 - Educación,574540118,626330809,Actividades de educación - programa 1
2025,Educación,Programa 2 - Educación,931993941,950383763,Actividades de educación - programa 2
2025,Educación,Programa 3 - Educación,356018640,331524167,Actividades de educación - programa 3
2025,Educación,Programa 4 - Educación,258083612,276984424,Actividades de educación - programa 4
2025,Educación,Programa 5 - Educación,801115011,834453024,Actividades de educación - programa 5
2025,Salud,Programa 1 - Salud,220584494,241315459,Actividades de salud - programa 1
2025,Salud,Programa 2 - Salud,1032442640,973043967,Actividades de salud - programa 2
2025,Salud,Programa 3 - Salud,381824967,357648154,Actividades de salud - programa 3
2025,Salud,Programa 4 - Salud,504242242,506738890,Actividades de salud - programa 4
2025,Salud,Programa 5 - Salud,631945018,605558677,Actividades de salud - programa 5
2025,Protección Social,Programa 1 - Protección Social,811852894,753317304,Actividades de protección social - programa 1
2025,Protección Social,Programa 2 - Protección Social,492144648,478990787,Actividades de protección social - programa 2
2025,Protección Social,Programa 3 - Protección Social,656069984,693489061,Actividades de protección social - programa 3
2025,Protección Social,Programa 4 - Protección Social,399673782,400811608,Actividades de protección social - programa 4
2025,Protección Social,Programa 5 - Protección Social,792414568,720534708,Actividades de protección social - programa 5
2025,Orden Público,Programa 1 - Orden Público,807544851,754331542,Actividades de orden público - programa 1
2025,Orden Público,Programa 2 - Orden Público,265051592,288847158,Actividades de orden público - programa 2
2025,Orden Público,Programa 3 - Orden Público,1165632033,1237527598,Actividades de orden público - programa 3
2025,Orden Público,Programa 4 - Orden Público,504613769,464009730,Actividades de orden público - programa 4
2025,Orden Público,Programa 5 - Orden Público,884233026,873649198,Actividades de orden público - programa 5
2025,Defensa,Programa 1 - Defensa,322038234,321727590,Actividades de defensa - programa 1
2025,Defensa,Programa 2 - Defensa,234388521,253576521,Actividades de defensa - programa 2
2025,Defensa,Programa 3 - Defensa,458779981,473692375,Actividades de defensa - programa 3
2025,Defensa,Programa 4 - Defensa,511711076,513764881,Actividades de defensa - programa 4
2025,Defensa,Programa 5 - Defensa,746710279,699645795,Actividades de defensa - programa 5
2025,Asuntos Económicos,Programa 1 - Asuntos Económicos,1169584627,1233942851,Actividades de asuntos económicos - programa 1
2025,Asuntos Económicos,Programa 2 - Asuntos Económicos,1139498941,1229480011,Actividades de asuntos económicos - programa 2
2025,Asuntos Económicos,Programa 3 - Asuntos Económicos,797899978,865222667,Actividades de asuntos económicos - programa 3
2025,Asuntos Económicos,Programa 4 - Asuntos Económicos,288492502,270951169,Actividades de asuntos económicos - programa 4
2025,Asuntos Económicos,Programa 5 - Asuntos Económicos,245227288,236660535,Actividades de asuntos económicos - programa 5
2025,Servicios Públicos Generales,Programa 1 - Servicios Públicos Generales,588677289,561756963,Actividades de servicios públicos generales - programa 1
2025,Servicios Públicos Generales,Programa 2 - Servicios Públicos Generales,1028737509,999264863,Actividades de servicios públicos generales - programa 2
2025,Servicios Públicos Generales,Programa 3 - Servicios Públicos Generales,480934509,485041313,Actividades de servicios públicos generales - programa 3
2025,Servicios Públicos Generales,Programa 4 - Servicios Públicos Generales,340924224,361529479,Actividades de servicios públicos generales - programa 4
2025,Servicios Públicos Generales,Programa 5 - Servicios Públicos Generales,274550643,301285668,Actividades de servicios públicos generales - programa 5
2025,Vivienda,Programa 1 - Vivienda,972244769,913660348,Actividades de vivienda - programa 1
2025,Vivienda,Programa 2 - Vivienda,205522117,218488977,Actividades de vivienda - programa 2
2025,Vivienda,Programa 3 - Vivienda,906857343,948392710,Actividades de vivienda - programa 3
2025,Vivienda,Programa 4 - Vivienda,971270346,888526786,Actividades de vivienda - programa 4
2025,Vivienda,Programa 5 - Vivienda,558465728,515560935,Actividades de vivienda - programa 5
