año,region,municipio,transferencia_total,fondo_comun_municipal,otras_transferencias,poblacion_estimada
2025,Arica y Parinacota,Municipio 1 - Arica y Parinacota,647407240,388444344,258962896,274178
2025,Arica y Parinacota,Municipio 2 - Arica y Parinacota,634768250,380860950,253907300,222892
2025,Arica y Parinacota,Municipio 3 - Arica y Parinacota,167013980,100208388,66805592,102498
2025,Arica y Parinacota,Municipio 4 - Arica y Parinacota,699632109,419779265,279852843,190203
2025,Arica y Parinacota,Municipio 5 - Arica y Parinacota,157150113,94290068,62860045,56090
2025,Arica y Parinacota,Municipio 6 - Arica y Parinacota,65438370,39263022,26175348,277913
2025,Arica y Parinacota,Municipio 7 - Arica y Parinacota,591499079,354899447,236599631,342069
2025,Arica y Parinacota,Municipio 8 - Arica y Parinacota,209254333,125552599,83701733,282455
2025,Arica y Parinacota,Municipio 9 - Arica y Parinacota,794158669,476495201,317663467,229176
2025,Arica y Parinacota,Municipio 10 - Arica y Parinacota,278181682,166909009,111272672,273795
2025,Arica y Parinacota,Municipio 11 - Arica y Parinacota,67296818,40378091,26918727,171730
2025,Arica y Parinacota,Municipio 12 - Arica y Parinacota,349895728,209937437,139958291,164503
2025,Arica y Parinacota,Municipio 13 - Arica y Parinacota,269108486,161465091,107643394,138855
2025,Arica y Parinacota,Municipio 14 - Arica y Parinacota,224578505,134747103,89831402,144981
2025,Tarapacá,Municipio 1 - Tarapacá,513789506,308273704,205515802,82435
2025,Tarapacá,Municipio 2 - Tarapacá,435675828,261405497,174270331,46551
2025,Tarapacá,Municipio 3 - Tarapacá,400072169,240043301,160028867,346236
2025,Tarapacá,Municipio 4 - Tarapacá,505658638,303395183,202263455,271840
2025,Tarapacá,Municipio 5 - Tarapacá,98788694,59273216,39515477,156699
2025,Tarapacá,Municipio 6 - Tarapacá,756651316,453990790,302660526,254629
2025,Tarapacá,Municipio 7 - Tarapacá,656298011,393778806,262519204,222624
2025,Tarapacá,Municipio 8 - Tarapacá,61974689,37184813,24789875,267801
2025,Tarapacá,Municipio 9 - Tarapacá,563174769,337904861,225269907,169555
2025,Tarapacá,Municipio 10 - Tarapacá,141528676,84917205,56611470,271508
2025,Tarapacá,Municipio 11 - Tarapacá,674896183,404937710,269958473,121530
2025,Tarapacá,Municipio 12 - Tarapacá,731990301,439194180,292796120,215551
2025,Tarapacá,Municipio 13 - Tarapacá,616521057,369912634,246608423,223261
2025,Tarapacá,Municipio 14 - Tarapacá,205956247,123573748,82382498,330139
2025,Tarapacá,Municipio 15 - Tarapacá,188640841,113184504,75456336,217283
2025,Tarapacá,Municipio 16 - Tarapacá,754624206,452774523,301849682,238165
2025,Tarapacá,Municipio 17 - Tarapacá,744994149,446996489,297997659,26534
2025,Tarapacá,Municipio 18 - Tarapacá,116369376,69821625,46547750,272750
2025,Tarapacá,Municipio 19 - Tarapacá,440625695,264375417,176250278,70591
2025,Tarapacá,Municipio 20 - Tarapacá,683400386,410040231,273360154,39300
2025,Tarapacá,Municipio 21 - Tarapacá,253511773,152107064,101404709,24268
2025,Tarapacá,Municipio 22 - Tarapacá,490063374,294038024,196025349,209776
2025,Antofagasta,Municipio 1 - Antofagasta,155693168,93415901,62277267,328358
2025,Antofagasta,Municipio 2 - Antofagasta,173950204,104370122,69580081,63984
2025,Antofagasta,Municipio 3 - Antofagasta,790165202,474099121,316066080,135151
2025,Antofagasta,Municipio 4 - Antofagasta,346161138,207696683,138464455,148767
2025,Antofagasta,Municipio 5 - Antofagasta,54141587,32484952,21656635,151330
2025,Antofagasta,Municipio 6 - Antofagasta,199131803,119479081,79652721,179231
2025,Antofagasta,Municipio 7 - Antofagasta,596755376,358053225,238702150,144312
2025,Antofagasta,Municipio 8 - Antofagasta,504469981,302681988,201787992,149633
2025,Antofagasta,Municipio 9 - Antofagasta,318849296,191309577,127539718,119488
2025,Antofagasta,Municipio 10 - Antofagasta,736219756,441731853,294487902,285536
2025,Antofagasta,Municipio 11 - Antofagasta,517473595,310484157,206989438,329400
2025,Antofagasta,Municipio 12 - Antofagasta,97668762,58601257,39067505,312366
2025,Antofagasta,Municipio 13 - Antofagasta,551630939,330978563,220652375,138684
2025,Antofagasta,Municipio 14 - Antofagasta,597204633,358322780,238881853,288109
2025,Antofagasta,Municipio 15 - Antofagasta,715409556,429245734,286163822,216664
2025,Antofagasta,Municipio 16 - Antofagasta,337195156,202317093,134878062,154182
2025,Antofagasta,Municipio 17 - Antofagasta,584933590,350960154,233973436,199064
2025,Antofagasta,Municipio 18 - Antofagasta,591297140,354778284,236518856,113806
2025,Antofagasta,Municipio 19 - Antofagasta,628225384,376935230,251290153,105982
2025,Antofagasta,Municipio 20 - Antofagasta,80325192,48195115,32130076,233126
