id,name,unit,source,sourceNote,sourceOrganization,topics,tema_id
AG.AGR.TRAC.NO,"Agricultural machinery, tractors",,"{'id': '57', 'value': 'WDI Database Archives'}",Agricultural machinery refers to the number of wheel and crawler tractors (excluding garden tractors) in use in agriculture at the end of the calendar year specified or during the first quarter of the following year.,"Food and Agriculture Organization, electronic files and web site.","[{'id': '1', 'value': 'Agriculture & Rural Development  '}]",1
AG.CON.FERT.PT.ZS,Fertilizer consumption (% of fertilizer production),,"{'id': '2', 'value': 'World Development Indicators'}","Fertilizer consumption measures the quantity of plant nutrients used per unit of arable land. Fertilizer products cover nitrogenous, potash, and phosphate fertilizers (including ground rock phosphate). Traditional nutrients--animal and plant manures--are not included. For the purpose of data dissemination, FAO has adopted the concept of a calendar year (January to December). Some countries compile fertilizer data on a calendar year basis, while others are on a split-year basis.","Food and Agriculture Organization, electronic files and web site.","[{'id': '1', 'value': 'Agriculture & Rural Development  '}]",1
AG.CON.FERT.ZS,Fertilizer consumption (kilograms per hectare of arable land),,"{'id': '2', 'value': 'World Development Indicators'}","Fertilizer consumption measures the quantity of plant nutrients used per unit of arable land. Fertilizer products cover nitrogenous, potash, and phosphate fertilizers (including ground rock phosphate). Traditional nutrients--animal and plant manures--are not included. For the purpose of data dissemination, FAO has adopted the concept of a calendar year (January to December). Some countries compile fertilizer data on a calendar year basis, while others are on a split-year basis. Arable land includes land defined by the FAO as land under temporary crops (double-cropped areas are counted once), temporary meadows for mowing or for pasture, land under market or kitchen gardens, and land temporarily fallow. Land abandoned as a result of shifting cultivation is excluded.","Food and Agriculture Organization, electronic files and web site.","[{'id': '1', 'value': 'Agriculture & Rural Development  '}]",1
AG.LND.AGRI.K2,Agricultural land (sq. km),,"{'id': '2', 'value': 'World Development Indicators'}","Agricultural land refers to the share of land area that is arable, under permanent crops, and under permanent pastures. Arable land includes land defined by the FAO as land under temporary crops (double-cropped areas are counted once), temporary meadows for mowing or for pasture, land under market or kitchen gardens, and land temporarily fallow. Land abandoned as a result of shifting cultivation is excluded. Land under permanent crops is land cultivated with crops that occupy the land for long periods and need not be replanted after each harvest, such as cocoa, coffee, and rubber. This category includes land under flowering shrubs, fruit trees, nut trees, and vines, but excludes land under trees grown for wood or timber. Permanent pasture is land used for five or more years for forage, including natural and cultivated crops.","Food and Agriculture Organization, electronic files and web site.","[{'id': '1', 'value': 'Agriculture & Rural Development  '}, {'id': '19', 'value': 'Climate Change'}]",1
AG.LND.AGRI.ZS,Agricultural land (% of land area),,"{'id': '2', 'value': 'World Development Indicators'}","Agricultural land refers to the share of land area that is arable, under permanent crops, and under permanent pastures. Arable land includes land defined by the FAO as land under temporary crops (double-cropped areas are counted once), temporary meadows for mowing or for pasture, land under market or kitchen gardens, and land temporarily fallow. Land abandoned as a result of shifting cultivation is excluded. Land under permanent crops is land cultivated with crops that occupy the land for long periods and need not be replanted after each harvest, such as cocoa, coffee, and rubber. This category includes land under flowering shrubs, fruit trees, nut trees, and vines, but excludes land under trees grown for wood or timber. Permanent pasture is land used for five or more years for forage, including natural and cultivated crops.","Food and Agriculture Organization, electronic files and web site.","[{'id': '1', 'value': 'Agriculture & Rural Development  '}, {'id': '19', 'value': 'Climate Change'}, {'id': '6', 'value': 'Environment '}]",1
AG.LND.ARBL.HA,Arable land (hectares),,"{'id': '2', 'value': 'World Development Indicators'}","Arable land (in hectares) includes land defined by the FAO as land under temporary crops (double-cropped areas are counted once), temporary meadows for mowing or for pasture, land under market or kitchen gardens, and land temporarily fallow. Land abandoned as a result of shifting cultivation is excluded.","Food and Agriculture Organization, electronic files and web site.","[{'id': '1', 'value': 'Agriculture & Rural Development  '}]",1
AG.LND.ARBL.HA.PC,Arable land (hectares per person),,"{'id': '2', 'value': 'World Development Indicators'}","Arable land (hectares per person) includes land defined by the FAO as land under temporary crops (double-cropped areas are counted once), temporary meadows for mowing or for pasture, land under market or kitchen gardens, and land temporarily fallow. Land abandoned as a result of shifting cultivation is excluded.","Food and Agriculture Organization, electronic files and web site.","[{'id': '1', 'value': 'Agriculture & Rural Development  '}]",1
AG.LND.ARBL.ZS,Arable land (% of land area),,"{'id': '2', 'value': 'World Development Indicators'}","Arable land includes land defined by the FAO as land under temporary crops (double-cropped areas are counted once), temporary meadows for mowing or for pasture, land under market or kitchen gardens, and land temporarily fallow. Land abandoned as a result of shifting cultivation is excluded.","Food and Agriculture Organization, electronic files and web site.","[{'id': '1', 'value': 'Agriculture & Rural Development  '}, {'id': '19', 'value': 'Climate Change'}, {'id': '6', 'value': 'Environment '}]",1
AG.LND.CREL.HA,Land under cereal production (hectares),,"{'id': '2', 'value': 'World Development Indicators'}","Land under cereal production refers to harvested area, although some countries report only sown or cultivated area. Cereals include wheat, rice, maize, barley, oats, rye, millet, sorghum, buckwheat, and mixed grains. Production data on cereals relate to crops harvested for dry grain only. Cereal crops harvested for hay or harvested green for food, feed, or silage and those used for grazing are excluded.","Food and Agriculture Organization, electronic files and web site.","[{'id': '1', 'value': 'Agriculture & Rural Development  '}]",1
AG.LND.CROP.ZS,Permanent cropland (% of land area),,"{'id': '2', 'value': 'World Development Indicators'}","Permanent cropland is land cultivated with crops that occupy the land for long periods and need not be replanted after each harvest, such as cocoa, coffee, and rubber. This category includes land under flowering shrubs, fruit trees, nut trees, and vines, but excludes land under trees grown for wood or timber.","Food and Agriculture Organization, electronic files and web site.","[{'id': '1', 'value': 'Agriculture & Rural Development  '}]",1
