indicator,country,countryiso3code,date,value,unit,obs_status,decimal
"{'id': 'NV.IND.MANF.KN', 'value': 'Manufacturing, value added (constant LCU)'}","{'id': 'ZH', 'value': 'Africa Eastern and Southern'}",AFE,2023,,,,0
"{'id': 'NV.IND.MANF.KN', 'value': 'Manufacturing, value added (constant LCU)'}","{'id': 'ZH', 'value': 'Africa Eastern and Southern'}",AFE,2022,,,,0
"{'id': 'NV.IND.MANF.KN', 'value': 'Manufacturing, value added (constant LCU)'}","{'id': 'ZH', 'value': 'Africa Eastern and Southern'}",AFE,2021,,,,0
"{'id': 'NV.IND.MANF.KN', 'value': 'Manufacturing, value added (constant LCU)'}","{'id': 'ZH', 'value': 'Africa Eastern and Southern'}",AFE,2020,,,,0
"{'id': 'NV.IND.MANF.KN', 'value': 'Manufacturing, value added (constant LCU)'}","{'id': 'ZH', 'value': 'Africa Eastern and Southern'}",AFE,2019,,,,0
"{'id': 'NV.IND.MANF.KN', 'value': 'Manufacturing, value added (constant LCU)'}","{'id': 'ZH', 'value': 'Africa Eastern and Southern'}",AFE,2018,,,,0
"{'id': 'NV.IND.MANF.KN', 'value': 'Manufacturing, value added (constant LCU)'}","{'id': 'ZH', 'value': 'Africa Eastern and Southern'}",AFE,2017,,,,0
"{'id': 'NV.IND.MANF.KN', 'value': 'Manufacturing, value added (constant LCU)'}","{'id': 'ZH', 'value': 'Africa Eastern and Southern'}",AFE,2016,,,,0
"{'id': 'NV.IND.MANF.KN', 'value': 'Manufacturing, value added (constant LCU)'}","{'id': 'ZH', 'value': 'Africa Eastern and Southern'}",AFE,2015,,,,0
"{'id': 'NV.IND.MANF.KN', 'value': 'Manufacturing, value added (constant LCU)'}","{'id': 'ZH', 'value': 'Africa Eastern and Southern'}",AFE,2014,,,,0
"{'id': 'NV.IND.MANF.KN', 'value': 'Manufacturing, value added (constant LCU)'}","{'id': 'ZH', 'value': 'Africa Eastern and Southern'}",AFE,2013,,,,0
"{'id': 'NV.IND.MANF.KN', 'value': 'Manufacturing, value added (constant LCU)'}","{'id': 'ZH', 'value': 'Africa Eastern and Southern'}",AFE,2012,,,,0
"{'id': 'NV.IND.MANF.KN', 'value': 'Manufacturing, value added (constant LCU)'}","{'id': 'ZH', 'value': 'Africa Eastern and Southern'}",AFE,2011,,,,0
"{'id': 'NV.IND.MANF.KN', 'value': 'Manufacturing, value added (constant LCU)'}","{'id': 'ZH', 'value': 'Africa Eastern and Southern'}",AFE,2010,,,,0
"{'id': 'NV.IND.MANF.KN', 'value': 'Manufacturing, value added (constant LCU)'}","{'id': 'ZH', 'value': 'Africa Eastern and Southern'}",AFE,2009,,,,0
"{'id': 'NV.IND.MANF.KN', 'value': 'Manufacturing, value added (constant LCU)'}","{'id': 'ZH', 'value': 'Africa Eastern and Southern'}",AFE,2008,,,,0
"{'id': 'NV.IND.MANF.KN', 'value': 'Manufacturing, value added (constant LCU)'}","{'id': 'ZH', 'value': 'Africa Eastern and Southern'}",AFE,2007,,,,0
"{'id': 'NV.IND.MANF.KN', 'value': 'Manufacturing, value added (constant LCU)'}","{'id': 'ZH', 'value': 'Africa Eastern and Southern'}",AFE,2006,,,,0
"{'id': 'NV.IND.MANF.KN', 'value': 'Manufacturing, value added (constant LCU)'}","{'id': 'ZH', 'value': 'Africa Eastern and Southern'}",AFE,2005,,,,0
"{'id': 'NV.IND.MANF.KN', 'value': 'Manufacturing, value added (constant LCU)'}","{'id': 'ZH', 'value': 'Africa Eastern and Southern'}",AFE,2004,,,,0
"{'id': 'NV.IND.MANF.KN', 'value': 'Manufacturing, value added (constant LCU)'}","{'id': 'ZH', 'value': 'Africa Eastern and Southern'}",AFE,2003,,,,0
"{'id': 'NV.IND.MANF.KN', 'value': 'Manufacturing, value added (constant LCU)'}","{'id': 'ZH', 'value': 'Africa Eastern and Southern'}",AFE,2002,,,,0
"{'id': 'NV.IND.MANF.KN', 'value': 'Manufacturing, value added (constant LCU)'}","{'id': 'ZH', 'value': 'Africa Eastern and Southern'}",AFE,2001,,,,0
"{'id': 'NV.IND.MANF.KN', 'value': 'Manufacturing, value added (constant LCU)'}","{'id': 'ZH', 'value': 'Africa Eastern and Southern'}",AFE,2000,,,,0
"{'id': 'NV.IND.MANF.KN', 'value': 'Manufacturing, value added (constant LCU)'}","{'id': 'ZI', 'value': 'Africa Western and Central'}",AFW,2023,,,,0
"{'id': 'NV.IND.MANF.KN', 'value': 'Manufacturing, value added (constant LCU)'}","{'id': 'ZI', 'value': 'Africa Western and Central'}",AFW,2022,,,,0
"{'id': 'NV.IND.MANF.KN', 'value': 'Manufacturing, value added (constant LCU)'}","{'id': 'ZI', 'value': 'Africa Western and Central'}",AFW,2021,,,,0
"{'id': 'NV.IND.MANF.KN', 'value': 'Manufacturing, value added (constant LCU)'}","{'id': 'ZI', 'value': 'Africa Western and Central'}",AFW,2020,,,,0
"{'id': 'NV.IND.MANF.KN', 'value': 'Manufacturing, value added (constant LCU)'}","{'id': 'ZI', 'value': 'Africa Western and Central'}",AFW,2019,,,,0
"{'id': 'NV.IND.MANF.KN', 'value': 'Manufacturing, value added (constant LCU)'}","{'id': 'ZI', 'value': 'Africa Western and Central'}",AFW,2018,,,,0
"{'id': 'NV.IND.MANF.KN', 'value': 'Manufacturing, value added (constant LCU)'}","{'id': 'ZI', 'value': 'Africa Western and Central'}",AFW,2017,,,,0
