indicator,country,countryiso3code,date,value,unit,obs_status,decimal
"{'id': 'NY.GDP.PCAP.CD', 'value': 'GDP per capita (current US$)'}","{'id': 'ZH', 'value': 'Africa Eastern and Southern'}",AFE,2023,1659.51529015376,,,1
"{'id': 'NY.GDP.PCAP.CD', 'value': 'GDP per capita (current US$)'}","{'id': 'ZH', 'value': 'Africa Eastern and Southern'}",AFE,2022,1628.02452570959,,,1
"{'id': 'NY.GDP.PCAP.CD', 'value': 'GDP per capita (current US$)'}","{'id': 'ZH', 'value': 'Africa Eastern and Southern'}",AFE,2021,1522.59008804972,,,1
"{'id': 'NY.GDP.PCAP.CD', 'value': 'GDP per capita (current US$)'}","{'id': 'ZH', 'value': 'Africa Eastern and Southern'}",AFE,2020,1344.08096192004,,,1
"{'id': 'NY.GDP.PCAP.CD', 'value': 'GDP per capita (current US$)'}","{'id': 'ZH', 'value': 'Africa Eastern and Southern'}",AFE,2019,1493.78044490037,,,1
"{'id': 'NY.GDP.PCAP.CD', 'value': 'GDP per capita (current US$)'}","{'id': 'ZH', 'value': 'Africa Eastern and Southern'}",AFE,2018,1538.92418773564,,,1
"{'id': 'NY.GDP.PCAP.CD', 'value': 'GDP per capita (current US$)'}","{'id': 'ZH', 'value': 'Africa Eastern and Southern'}",AFE,2017,1520.17129839287,,,1
"{'id': 'NY.GDP.PCAP.CD', 'value': 'GDP per capita (current US$)'}","{'id': 'ZH', 'value': 'Africa Eastern and Southern'}",AFE,2016,1329.77782375583,,,1
"{'id': 'NY.GDP.PCAP.CD', 'value': 'GDP per capita (current US$)'}","{'id': 'ZH', 'value': 'Africa Eastern and Southern'}",AFE,2015,1479.56412348117,,,1
"{'id': 'NY.GDP.PCAP.CD', 'value': 'GDP per capita (current US$)'}","{'id': 'ZH', 'value': 'Africa Eastern and Southern'}",AFE,2014,1656.10764215035,,,1
"{'id': 'NY.GDP.PCAP.CD', 'value': 'GDP per capita (current US$)'}","{'id': 'ZH', 'value': 'Africa Eastern and Southern'}",AFE,2013,1673.14047580686,,,1
"{'id': 'NY.GDP.PCAP.CD', 'value': 'GDP per capita (current US$)'}","{'id': 'ZH', 'value': 'Africa Eastern and Southern'}",AFE,2012,1702.96925758003,,,1
"{'id': 'NY.GDP.PCAP.CD', 'value': 'GDP per capita (current US$)'}","{'id': 'ZH', 'value': 'Africa Eastern and Southern'}",AFE,2011,1735.58514005394,,,1
"{'id': 'NY.GDP.PCAP.CD', 'value': 'GDP per capita (current US$)'}","{'id': 'ZH', 'value': 'Africa Eastern and Southern'}",AFE,2010,1601.72774808025,,,1
"{'id': 'NY.GDP.PCAP.CD', 'value': 'GDP per capita (current US$)'}","{'id': 'ZH', 'value': 'Africa Eastern and Southern'}",AFE,2009,1386.59020649073,,,1
"{'id': 'NY.GDP.PCAP.CD', 'value': 'GDP per capita (current US$)'}","{'id': 'ZH', 'value': 'Africa Eastern and Southern'}",AFE,2008,1421.11861211069,,,1
