indicator,country,countryiso3code,date,value,unit,obs_status,decimal
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': 'ZH', 'value': 'Africa Eastern and Southern'}",AFE,2023,750503764.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': 'ZH', 'value': 'Africa Eastern and Southern'}",AFE,2022,731821393.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': 'ZH', 'value': 'Africa Eastern and Southern'}",AFE,2021,713090928.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': 'ZH', 'value': 'Africa Eastern and Southern'}",AFE,2020,694446100.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': 'ZH', 'value': 'Africa Eastern and Southern'}",AFE,2019,675950189.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': 'ZH', 'value': 'Africa Eastern and Southern'}",AFE,2018,657801085.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': 'ZH', 'value': 'Africa Eastern and Southern'}",AFE,2017,640058741.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': 'ZH', 'value': 'Africa Eastern and Southern'}",AFE,2016,623369401.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': 'ZH', 'value': 'Africa Eastern and Southern'}",AFE,2015,607123269.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': 'ZH', 'value': 'Africa Eastern and Southern'}",AFE,2014,590968990.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': 'ZH', 'value': 'Africa Eastern and Southern'}",AFE,2013,575202699.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': 'ZH', 'value': 'Africa Eastern and Southern'}",AFE,2012,559609961.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': 'ZH', 'value': 'Africa Eastern and Southern'}",AFE,2011,544737983.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': 'ZH', 'value': 'Africa Eastern and Southern'}",AFE,2010,530308387.0,,,0
